date,equity,cash,position_value
2025-09-10,1000000.0,900088.72683,99911.27317
2025-09-11,1001306.9214000001,800224.6023300001,201082.31907
2025-09-12,997514.3635500001,700288.6578900001,297225.70566
2025-09-15,998410.1766100002,600446.6637900003,397963.51282
2025-09-16,990055.6093400002,500619.65379000024,489435.9555499999
2025-09-17,988941.9554100004,400748.5827300003,588193.37268
2025-09-18,991900.7389700003,300802.54488000023,691098.19409
2025-09-19,987034.8432300001,201106.93274000022,785927.9104899999
2025-09-22,999089.4673200003,390154.08110000024,608935.38622
2025-09-23,997558.7813200001,290415.5011000002,707143.2802199998
2025-09-24,1005413.9987400002,190582.44288000025,814831.55586
2025-09-25,984618.4480600004,197258.32602000027,787360.1220400002
2025-09-26,959511.6225400002,199600.5860200003,759911.03652
2025-09-29,1009747.7334600004,391399.91732000036,618347.81614
2025-09-30,1035389.2514600004,291524.39732000034,743864.8541400001
2025-10-09,1030311.2640000004,832485.6640000005,197825.59999999998
2025-10-10,1021681.0840000005,826020.7540000004,195660.33000000002
2025-10-13,1016681.0540000005,726073.1340000004,290607.92
2025-10-14,1012152.1840000005,626166.6440000004,385985.54000000004
2025-10-15,1012315.4040000003,526344.2140000004,485971.19
2025-10-16,1028371.8740000005,426403.85400000034,601968.0200000001
2025-10-17,1019631.3840000002,326460.7340000003,693170.6499999999
2025-10-20,1014168.1640000003,414826.0640000003,599342.1000000001
2025-10-21,1027989.3640000005,314886.63400000037,713102.7300000002
2025-10-22,1014654.1640000002,214918.27400000033,799735.8899999999
2025-10-23,986492.1040000003,208959.59400000036,777532.5099999999
2025-10-24,980281.0740000005,202935.8048000004,777345.2692000001
2025-10-27,996784.3196000003,399687.0516000004,597097.2679999999
2025-10-28,1001078.6454000003,300080.8616000004,700997.7837999999
2025-10-29,1013228.4146000006,200163.8756000004,813064.5390000002
2025-10-30,1003300.1798000005,203927.04980000044,799373.13
2025-10-31,953117.1398000002,192188.77780000045,760928.3619999998
2025-11-03,978883.0414000003,393573.37700000044,585309.6643999999
2025-11-04,985392.5874000003,293859.77300000045,691532.8143999999
2025-11-05,1003356.5934000004,194040.00300000043,809316.5903999999
2025-11-06,1012630.5136000006,196126.87360000046,816503.6400000001
2025-11-07,1004608.0636000005,196518.57360000044,808089.49
2025-11-10,1022006.4436000005,415683.9250000004,606322.5186000001
2025-11-11,1023466.5330000003,315792.55500000034,707673.9779999999
2025-11-12,1009260.7904000004,215848.9050000003,793411.8854000001
2025-11-13,1038384.5294000005,226004.13740000033,812380.3920000001
2025-11-14,1032602.1194000002,227359.8094000003,805242.3099999999
2025-11-17,1076425.9494000003,452886.6594000003,623539.2899999999
2025-11-18,1052266.1294000004,352953.2494000003,699312.88
2025-11-19,1063599.8794000004,253042.97940000036,810556.9
2025-11-20,1048543.4494000003,249783.67940000034,798759.7699999999
2025-11-21,960258.9194000005,228411.37940000038,731847.5400000002
2025-11-24,943697.5494000004,407644.2594000003,536053.29
2025-11-25,956983.1394000002,307751.5594000003,649231.58
2025-11-26,946069.6294000004,207955.1394000003,738114.4900000001
2025-11-27,953211.4194000001,194659.86940000032,758551.5499999998
2025-11-28,954628.1894000003,188197.0594000003,766431.13
2025-12-01,950015.6394000002,367867.3894000003,582148.25
2025-12-02,946132.9294000003,268041.21824000025,678091.7111600001
2025-12-03,907102.1780000002,168211.16824000026,738891.0097599999
2025-12-04,905090.7773200001,155701.9282400002,749388.84908
2025-12-05,943880.6526000001,145700.45824000024,798180.1943599998
2025-12-08,1001309.3034800001,348080.51824000024,653228.7852399999
2025-12-09,1008020.0170000005,248138.72824000026,759881.2887600001
2025-12-10,1020790.4792400004,148230.39824000024,872560.0810000001
2025-12-11,997208.2896000004,154342.04824000027,842866.2413600001
2025-12-12,1033566.0597200005,172505.98972000025,861060.0700000002
2025-12-15,1026174.6097200003,421522.5697200003,604652.0399999999
2025-12-16,1003713.9597200004,321747.7997200003,681966.16
2025-12-17,1025396.5697200003,221933.73972000033,803462.83
2025-12-18,1035999.7697200003,214705.98509500033,821293.784625
2025-12-19,1041273.1175150003,217650.87509500032,823622.24242
2025-12-22,1044923.6670540001,429280.4650950003,615643.2019589999
2025-12-23,1034884.0625900002,329354.7250950003,705529.3374949999
2025-12-24,1056276.6964010003,229601.2950950003,826675.401306
2025-12-25,1107507.9100200003,232205.99509500028,875301.914925
2025-12-26,1111903.7814760003,242644.9450950003,869258.8363810001
2025-12-29,1096336.173082,489056.4630820002,607279.71
2025-12-30,1086007.4730820002,389221.6230820002,696785.85
2025-12-31,1100546.7430820004,289271.2630820002,811275.4800000001
2026-01-05,1105659.5230820004,702511.4330820004,403148.09
2026-01-06,1128868.5430820002,602665.7730820003,526202.77
2026-01-07,1138916.5930820005,502762.83308200026,636153.7600000001
2026-01-08,1175940.7830820004,525963.1630820003,649977.62
2026-01-09,1204923.0530820005,542552.5930820002,662370.4600000002
2026-01-12,1269622.3430820003,560067.4530820001,709554.8900000001
2026-01-13,1239353.373082,460115.03308200015,779238.3399999999
2026-01-14,1220979.9030820003,360194.5030820002,860785.4000000001
2026-01-15,1159671.643082,381202.6130820002,778469.0299999999
2026-01-16,1130725.7630820004,390222.59308200027,740503.1700000002
2026-01-19,1119257.4530820004,586300.9630820003,532956.49
2026-01-20,1094407.0130820004,486335.95308200025,608071.06
2026-01-21,1084424.3930820003,386463.8630820002,697960.53
2026-01-22,1100763.3630820003,369588.9730820002,731174.39
2026-01-23,1155530.4730820004,355295.2530820002,800235.2200000002
2026-01-26,1141367.4630820001,526515.8530820002,614851.61
2026-01-27,1153718.4430820001,426585.47308200016,727132.97
2026-01-28,1184491.4530820001,326673.3930820002,857818.0599999999
2026-01-29,1226524.4830820002,320556.9230820003,905967.5599999999
2026-01-30,1175325.2430820004,332124.6430820003,843200.6
2026-02-02,1114640.6630820003,544294.9630820003,570345.7000000001
2026-02-03,1110750.0530820002,444582.64308200026,666167.4099999999
2026-02-04,1105636.3130820002,344718.7430820002,760917.5700000001
2026-02-05,1046100.5630820002,330133.76308200014,715966.8
2026-02-06,1060929.623082,322258.2530820001,738671.37
