date,type,stock,shares,price,amount,pnl,return
2025-12-15,SELL,SHSE.688523,1177,41.74,49127.98,-835.6699999999983,-1.6725559481743257
2025-12-15,SELL,SHSE.603327,3681,11.89,43767.090000000004,-6220.889999999999,-12.444771723122239
2025-12-15,BUY,SZSE.300751,308,162.06,49914.48,,
2025-12-15,BUY,SHSE.600151,2951,16.94,49989.94,,
2025-12-15,BUY,SHSE.688048,346,144.5,49997.0,,
2025-12-15,BUY,SHSE.601399,9293,5.38,49996.34,,
2025-12-16,SELL,SZSE.300751,276,157.6,43497.6,-6486.0,-12.976256212037551
2025-12-16,SELL,SZSE.002353,689,70.99,48912.10999999999,-1019.7200000000084,-2.042224368704293
2025-12-16,SELL,SHSE.601399,10615,4.84,51376.6,1379.949999999997,2.7600849256900206
2025-12-16,SELL,SHSE.600151,3571,17.18,61349.78,11355.779999999999,22.714285714285708
2025-12-16,BUY,SZSE.003031,734,68.07,49963.38,,
2025-12-16,BUY,SZSE.300751,317,157.6,49959.2,,
2025-12-16,BUY,SZSE.000901,1960,25.5,49980.0,,
2025-12-16,BUY,SHSE.688270,443,112.68,49917.240000000005,,
2025-12-17,SELL,SZSE.300394,232,217.78,50524.96,607.8399999999965,1.2176984569622684
2025-12-17,SELL,SHSE.601399,9652,5.32,51348.64,1351.2799999999988,2.7027027027027195
2025-12-17,SELL,SZSE.300102,1899,24.26,46069.740000000005,-3911.939999999995,-7.826747720364735
2025-12-17,SELL,SHSE.600151,3246,18.12,58817.520000000004,8829.120000000003,17.66233766233767
2025-12-17,BUY,SZSE.003031,667,74.88,49944.96,,
2025-12-17,BUY,SHSE.601399,9398,5.32,49997.36,,
2025-12-17,BUY,SZSE.002149,1604,31.17,49996.68,,
2025-12-17,BUY,SZSE.301205,287,174.0,49938.0,,
2025-12-18,BUY,SZSE.000950,7323,6.827125,49995.036374999996,,
2025-12-18,BUY,SHSE.600118,887,56.31,49946.97,,
2025-12-18,BUY,SZSE.002149,1458,34.29,49994.82,,
2025-12-18,BUY,SZSE.003031,664,75.25,49966.0,,
2025-12-19,BUY,SHSE.603698,1820,27.47,49995.4,,
2025-12-19,BUY,SHSE.600879,2767,18.07,49999.69,,
2025-12-19,BUY,SHSE.688270,442,112.99,49941.579999999994,,
2025-12-19,BUY,SZSE.002149,1325,37.72,49979.0,,
2025-12-22,SELL,SZSE.301205,287,173.1,49679.7,-258.3000000000029,-0.5172413793103514
2025-12-22,SELL,SZSE.002149,1604,37.3,59829.2,9832.519999999997,19.66634584536411
2025-12-22,SELL,SHSE.601399,9398,5.63,52910.74,2913.3799999999974,5.827067669172914
2025-12-22,SELL,SZSE.003031,667,78.24,52186.079999999994,2241.1199999999953,4.487179487179493
2025-12-22,SELL,SHSE.688270,443,112.49,49833.07,-84.17000000000553,-0.1686190983315683
2025-12-22,SELL,SZSE.000901,1960,23.88,46804.799999999996,-3175.2000000000044,-6.352941176470594
2025-12-22,SELL,SZSE.300751,317,161.02,51043.340000000004,1084.1400000000067,2.1700507614213382
2025-12-22,SELL,SZSE.003031,734,78.24,57428.159999999996,7464.779999999999,14.940502423975332
2025-12-22,SELL,SHSE.601399,9293,5.63,52319.59,2323.25,4.646840148698894
2025-12-22,SELL,SHSE.688048,346,141.0,48786.0,-1211.0,-2.422145328719727
2025-12-22,SELL,SHSE.600151,2951,17.84,52645.84,2655.899999999994,5.312868949232574
