date,type,stock,shares,price,amount,pnl,return
2025-09-10,BUY,SHSE.600021,1202,20.79,24989.579999999998,,
2025-09-10,BUY,SZSE.300014,357,69.92181,24962.08617,,
2025-09-10,BUY,SHSE.688006,605,41.3054,24989.767,,
2025-09-10,BUY,SZSE.002074,534,46.76,24969.84,,
2025-09-11,BUY,SHSE.688006,626,39.91825,24988.8245,,
2025-09-11,BUY,SZSE.300450,415,60.13,24953.95,,
2025-09-11,BUY,SHSE.600021,1135,22.01,24981.350000000002,,
2025-09-11,BUY,SHSE.688778,290,86.0,24940.0,,
2025-09-12,BUY,SZSE.300450,456,54.8,24988.8,,
2025-09-12,BUY,SHSE.688006,667,37.44332,24974.69444,,
2025-09-12,BUY,SHSE.601069,797,31.35,24985.95,,
2025-09-12,BUY,SHSE.600977,1298,19.25,24986.5,,
2025-09-15,BUY,SZSE.002709,811,30.8053,24983.098299999998,,
2025-09-15,BUY,SHSE.688778,301,82.82,24928.82,,
2025-09-15,BUY,SZSE.002558,562,44.4309,24970.1658,,
2025-09-15,BUY,SZSE.300450,449,55.59,24959.91,,
2025-09-16,BUY,SHSE.603179,310,80.4,24924.0,,
2025-09-16,BUY,SHSE.600699,820,30.48,24993.6,,
2025-09-16,BUY,SZSE.300857,159,156.99,24961.41,,
2025-09-16,BUY,SHSE.603516,162,154.0,24948.0,,
2025-09-17,BUY,SHSE.603516,150,166.5,24975.0,,
2025-09-17,BUY,SZSE.300475,318,78.38167,24925.37106,,
2025-09-17,BUY,SHSE.600977,1255,19.92,24999.600000000002,,
2025-09-17,BUY,SHSE.600580,483,51.7,24971.100000000002,,
2025-09-18,BUY,SZSE.300475,331,75.49235,24987.96785,,
2025-09-18,BUY,SHSE.600580,441,56.67,24991.47,,
2025-09-18,BUY,SHSE.600699,677,36.88,24967.760000000002,,
2025-09-18,BUY,SHSE.600170,6443,3.88,24998.84,,
2025-09-19,BUY,SZSE.300475,322,77.51187,24958.82214,,
2025-09-19,BUY,SHSE.603516,153,162.84,24914.52,,
2025-09-19,BUY,SZSE.300857,152,163.43,24841.36,,
2025-09-19,BUY,SZSE.002335,339,73.69,24980.91,,
2025-09-22,SELL,SHSE.600977,1298,16.88,21910.239999999998,-3076.260000000002,-12.311688311688318
2025-09-22,SELL,SHSE.601069,797,30.8,24547.600000000002,-438.34999999999854,-1.7543859649122862
2025-09-22,SELL,SHSE.688006,667,37.52315,25027.94105,53.246610000001965,0.21320224809124877
2025-09-22,SELL,SZSE.300450,456,58.89,26853.84,1865.0400000000009,7.463503649635039
2025-09-22,SELL,SHSE.688778,290,84.35,24461.5,-478.5,-1.9186046511627919
2025-09-22,SELL,SHSE.600021,1135,19.66,22314.1,-2667.2500000000036,-10.676965015901875
